Field,Keyword Variation
Loans Non Current,Loans Non Current loans non current as at
Loans Non Current,long-term loans and advances gross
Loans Non Current,Loans Non Current long-term loans and advances standalone
Loans Non Current,loans and advances non current refer note
Loans Non Current,Loans Non Current security deposits balance
Loans Non Current,Loans Non Current loans and advances non current balance
Loans Non Current,Loans Non Current long-term loans and advances outstanding
Loans Non Current,Loans Non Current non current loans per note
Loans Non Current,Loans Non Current non current loans consolidated
Loans Non Current,Loans Non Current deposits with government net
Loans Non Current,loans and advances non current outstanding
Loans Non Current,loans and advances non current total
Loans Non Current,loans and advances non current
Loans Non Current,long term loans and advances as at
Loans Non Current,security deposits ind as
Loans Non Current,Loans Non Current security deposits consolidated
Loans Non Current,security deposits balance
Loans Non Current,Loans Non Current loans non current consolidated
Loans Non Current,deposits with government
Loans Non Current,Loans Non Current non current loans
Loans Non Current,Loans Non Current security deposits total
Loans Non Current,Loans Non Current loans non current standalone
Loans Non Current,non current loans
Loans Non Current,Loans Non Current loans and advances non current consolidated
Loans Non Current,Loans Non Current security deposits for the year
Loans Non Current,Loans Non Current loans and advances non current
Loans Non Current,Loans Non Current long-term loans and advances as at
Loans Non Current,Loans Non Current long-term loans and advances balance
Loans Non Current,long-term loans and advances outstanding
Loans Non Current,security deposits consolidated
Loans Non Current,security deposits schedule
Loans Non Current,Loans Non Current long term loans and advances for the year
Loans Non Current,Loans Non Current loans non current total
Loans Non Current,Loans Non Current security deposits as at
Loans Non Current,loans non current ind as
Loans Non Current,loans non current total
Loans Non Current,Loans Non Current security deposits schedule
Loans Non Current,Loans Non Current loans and advances non current total
Loans Non Current,long term loans and advances per note
Loans Non Current,non current loans balance
Loans Non Current,Loans Non Current long term loans and advances ind as
Loans Non Current,Loans Non Current non current loans standalone
Loans Non Current,Loans Non Current security deposits refer note
Loans Non Current,Loans Non Current loans non current ind as
Loans Non Current,security deposits for the year
Loans Non Current,non current loans amount
Loans Non Current,Loans Non Current loans and advances non current march
Loans Non Current,loans non current as at
Loans Non Current,loans non current balance
Loans Non Current,long term loans and advances ind as
Loans Non Current,loans non current
Loans Non Current,Loans Non Current loans non current march
Loans Non Current,long-term loans and advances total
Loans Non Current,Loans Non Current long-term loans and advances total
Loans Non Current,loans non current consolidated
Loans Non Current,non current loans per note
Loans Non Current,long term loans and advances for the year
Loans Non Current,Loans Non Current loans non current for the year
Loans Non Current,Loans Non Current long term loans and advances schedule
Loans Non Current,Loans Non Current loans non current amount
Loans Non Current,loans non current amount
Loans Non Current,Loans Non Current loans non current
Loans Non Current,long term loans and advances outstanding
Loans Non Current,security deposits
Loans Non Current,loans and advances non current march
Loans Non Current,Loans Non Current loans and advances non current refer note
Loans Non Current,loans non current march
Loans Non Current,non current loans gross
Loans Non Current,Loans Non Current security deposits amount
Loans Non Current,Loans Non Current long term loans and advances net
Loans Non Current,Loans Non Current long-term loans and advances march
Loans Non Current,long-term loans and advances balance
Loans Non Current,deposits with government total
Loans Non Current,long-term loans and advances refer note
Loans Non Current,Loans Non Current loans non current per note
Loans Non Current,Loans Non Current loans and advances non current amount
Loans Non Current,loans and advances non current balance
CWIP,capital work in progress
CWIP,assets under construction consolidated
CWIP,CWIP cwip refer note
CWIP,CWIP intangible assets under development amount
CWIP,CWIP capital work-in-progress consolidated
CWIP,CWIP projects under development net
CWIP,CWIP projects under development total
CWIP,CWIP intangible under development refer note
CWIP,intangible under development outstanding
CWIP,capital work in progress ind as
CWIP,CWIP intangible under development balance
CWIP,assets under construction ind as
CWIP,CWIP intangible assets under development march
CWIP,intangible assets under development
CWIP,capital work in progress standalone
CWIP,cwip refer note
CWIP,assets under construction total
CWIP,intangible under development march
CWIP,cwip amount
CWIP,CWIP cwip balance
CWIP,cwip total
CWIP,intangible assets under development balance
CWIP,projects under development net
CWIP,capital work-in-progress ind as
CWIP,CWIP intangible assets under development net
CWIP,CWIP intangible assets under development balance
CWIP,CWIP capital work in progress march
CWIP,cwip per note
CWIP,capital work in progress total
CWIP,CWIP assets under construction refer note
